EPIC — OFFICE DU TOURISME	EPIC OFFICE DU TOURISME	96
CPCU — COMPAGNIE PARISIENNE DE CHAUFFAGE URBAIN	CPCU COMPAGNIE PARISIENNE DE CHAUFFAGE URBAIN	98
DIR CENTRE EST	DIR CENTRE-EST	100
VAL' HAINAUT HABITAT	VAL HAINAUT HABITAT	97
COMMUNAUTÉ D'AGGLOMÉRATION DE PAU PYRÉNÉES	COMMUNAUTÉ D'AGGLOMÉRATION DE PAU-PYRÉNÉES	100
VILLE DE CALUIRE ET CUIRE	VILLE DE CALUIRE-ET-CUIRE	100
MINDEF/ARMÉE DE L'AIR/SIMMAD/SSAM33503	MINDEF/ARMÉE DE L'AIR/SIMMAD/SSAM 33503	99
CONSEIL GÉNÉRAL D'INDRE-ET-LOIRE	CONSEIL GÉNÉRAL D'INDRE ET LOIRE	100
DÉPARTEMENT DU VAL-DE-MARNE	DÉPARTEMENT DU VAL DE MARNE	100
CA PORTES DE FRANCE-THIONVILLE	CA PORTES DE FRANCE — THIONVILLE	97
DÉPARTEMENT DES RECHERCHES ARCHÉOLOGIQUES	DÉPARTEMENT DES RECHERCHES ARCHÉOLOGIQUE	99
ARTOIS COMM.	ARTOIS COMM	100
IMMOBILIÈRE 3F	IMMOBILIERE 3F	96
ASSOCIATION FRANCAISE DE NORMALISATION: AFNOR	ASSOCIATION FRANÇAISE DE NORMALISATION: AFNOR	99
GPM DE NANTES-SAINT-NAZAIRE	GPM DE NANTES — SAINT-NAZAIRE	96
SNCF RÉSEAU INGÉNIERIE ET PROJETS — AGENCE RHÔNE-ALPES AUVERGNE, REPRÉSENTÉE PAR SETEC ORGANISATION, EN SA QUALITÉ DE MANDATAIRE DE MAÎTRISE D'OUVRAGE	SNCF RÉSEAU INGÉNIERIE & PROJETS AGENCE RHÔNE-ALPES AUVERGNE, REPRÉSENTÉE PAR SETEC ORGANISATION, EN SA QUALITÉ DE MANDATAIRE DE MAÎTRISE D'OUVRAGE	98
CARSAT RHÔNE-ALPES	CARSAT RHÔNE ALPES	100
COMMISSARIAT À L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES — CEA/SACLAY	COMMISSARIAT A L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES — CEA/SACLAY	99
VILLE DE MONT DE MARSAN	VILLE DE MONT-DE-MARSAN	100
ŒUVRE DU PERPÉTUEL SECOURS IHFB	ŒUVRE DU PERPÉTUEL SECOURS — IHFB	97
ÉTABLISSEMENT SNI GRAND-OUEST	ÉTABLISSEMENT SNI GRAND OUEST	100
ESCOTA — SOCIETÉ DES AUTOROUTES ESTÉREL, CÔTE D'AZUR, PROVENCE, ALPES	ESCOTA — SOCIÉTÉ DES AUTOROUTES ESTÉREL, CÔTE D'AZUR, PROVENCE, ALPES	99
ASSISTANCE PUBLIQUE HÔPITAUX DE PARIS	ASSISTANCE PUBLIQUE-HÔPITAUX DE PARIS	100
CHI — VILLENEUVE-SAINT-GEORGES	CHI VILLENEUVE-SAINT GEORGES	97
CHU AMIENS-PICARDIE	CHU AMIENS PICARDIE	100
HOPITAL SAINTE-ANNE	HÔPITAL SAINTE-ANNE	97
COMMUNAUTÉ D'AGGLOMÉRATION DE CHARLEVILLE-MÉZIÈRES / SEDAN	COMMUNAUTÉ D’AGGLOMÉRATION CHARLEVILLE-MÉZIÈRES / SEDAN	97
INSTITUT GEOGRAPHIQUE NATIONAL	INSTITUT GÉOGRAPHIQUE NATIONAL	98
CENTRE RÉGIONAL ŒUVRES UNIV. SCOLAIRES	CENTRE RÉGIONAL OEUVRES UNIV. SCOLAIRES	96
EDF PRODUCTION ÉLECTRIQUE INSULAIRE SAS (EDF PEI)	EDF PRODUCTION ÉLECTRIQUE INSULAIRE (EDF PEI)	96
COMMUNAUTÉ D'AGGLOMÉRATION LOIRE FOREZ	COMMUNAUTÉ D'AGGLOMÉRATION LOIRE-FOREZ	100
VILLE DE SAINT-GRÉGOIRE	VILLE DE SAINT GRÉGOIRE	100
UNIVERSITÉ PARIS OUEST NANTERRE	UNIVERSITÉ PARIS-OUEST-NANTERRE	100
COMMUNAUTÉ D'AGGLOMÈRATION DU LAC DU BOURGET	COMMUNAUTÉ D'AGGLOMÉRATION DU LAC DU BOURGET	100
ALSACE CHAMPAGNE-ARDENNE LORRAINE	ALSACE-CHAMPAGNE-ARDENNE-LORRAINE	100
CONSEIL GENERAL DE L'ARIÈGE	CONSEIL GÉNÉRAL DE L'ARIÈGE	96
NIÈVRE HABITAT	NIEVRE HABITAT	96
UNIVERSITÉ FRANÇOIS-RABELAIS DE TOURS	UNIVERSITÉ FRANÇOIS RABELAIS DE TOURS	100
GROUPE HOSPITALIER SECLIN-CARVIN	GROUPE HOSPITALIER SECLIN CARVIN	100
CNRS — DÉLÉGATION MIDI-PYRÉNÉES	CNRS — DÉLÉGATION MIDI PYRÉNÉES	100
VILLE D'ANTIBES — JUAN-LES-PINS	VILLE D'ANTIBES JUAN-LES-PINS	97
CENTRALESUPELEC	CENTRALE SUPELEC	97
COMMISSARIAT A L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES — CEA/SACLAY	COMMISSARIAT À L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES — CEA/SACLAY	99
UNIVERSITÉ TOULOUSE 1 SCIENCES SOCIALE	UNIVERSITÉ TOULOUSE 1, SCIENCES SOCIALE	99
LA POSTE — DIRECTION GÉNÉRALE DU RÉSEAU	LA POSTE – DIRECTION GÉNÉRALE DU RÉSEAU	100
MINISTÈRE DE LA DÉFENSE — BCAC-CG195/M	MINISTÈRE DE LA DÉFENSE — BCAC-CG 195/M	99
CHI ELBEUF LOUVIERS/VAL DE REUIL	CHI ELBEUF-LOUVIERS / VAL DE REUIL	97
CA PORTES DE FRANCE — THIONVILLE	CA PORTES DE FRANCE-THIONVILLE	97
COMMUNAUTÉ D'AGGLOMÉRATION VAR ESTÉREL MÉDITERRANÉE	COMMUNAUTÉ D’AGGLOMÉRATION VAR ESTÉREL MÉDITERRANÉE	100
MÉTROPOLE AIX-MARSEILLE-PROVENCE CT6	MÉTROPOLE AIX-MARSEILLE-PROVENCE CT 6	99
CTRE NAT. DE LA RECHERCHE SCIENTIFIQUE	CTRE NAT DE LA RECHERCHE SCIENTIFIQUE	99
ÉCOLE NATIONALE SUPÉRIEURE DES ARTS ET MÉTIERS	ÉCOLE NATIONALE SUPÉRIEURE D'ARTS ET MÉTIERS	98
IMMOBILIÈRE 3F — DPRU	IMMOBILIÈRE 3F, DPRU	97
COMMISSARIAT A L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES (CEA) — FONTENAY-AUX-ROSES	COMMISSARIAT À L'ÉNERGIE ATOMIQUE ET AUX ÉNERGIES ALTERNATIVES (CEA) — FONTENAY-AUX-ROSES	99
COMMUNAUTÉ D'AGGLOMÉRATION DE ST-OMER	COMMUNAUTÉ D'AGGLOMÉRATION DE SAINT-OMER	96
SICTOM ZONE DE LONS LE SAUNIER	SICTOM ZONE DE LONS-LE-SAUNIER	100
GH COCHIN — BROCA- HÔTEL-DIEU	GH COCHIN — BROCA — HÔTEL-DIEU	98
DESTINATION RENNES — TOURISME CONGRÈS	DESTINATION RENNES TOURISME CONGRÈS	97
IEDOM INSTITUT D'ÉMISSION DES DÉPARTEMENTS D'OUTRE-MER	IEDOM — INSTITUT D'ÉMISSION DES DÉPARTEMENTS D'OUTRE-MER	98
SOCIÉTÉ IMMOBILIÈRE DES CHEMINS DE FERS	SOCIÉTÉ IMMOBILIÈRE DES CHEMINS DE FER	99
LANGUEDOC ROUSSILLON AMÉNAGEMENT	LANGUEDOC-ROUSSILLON AMÉNAGEMENT	100
RÉGION NORD-PAS-DE-CALAIS - PICARDIE	RÉGION NORD PAS-DE-CALAIS — PICARDIE	100
CHI ELBEUF-LOUVIERS / VAL DE REUIL	CHI ELBEUF LOUVIERS / VAL DE REUIL	100
COMMUANUTÉ D'AGGLOMÉRATION DU LAC DU BOURGET	COMMUNAUTÉ D'AGGLOMÈRATION DU LAC DU BOURGET	98
PÔLE SANTÉ SARTHE ET LOIRE	PÔLE SANTÉ SARTHE-ET-LOIRE	100
